uid,e1_value,e2_value,e3_value,r1_prompt,r1_expected_aliases,r1_response,r1_matched_alias,r2_prompt,r2_expected_aliases,r2_response,r2_matched_alias,fact_comp_type,category
91453,Lee Byung-hun,Seoul,South Korea,The city where Lee Byung-hun was born is,Seoul|Seoul City|Sŏul T'ŭkpyŏlsi|Wiryeseong|Namgyeong|Hanseong|Hanyang|Keijō|Keijou|Gyeongseong,Seoul,Seoul,Seoul is in the country of,South Korea|Republic of Korea|ROK|kr|Rep. Korea|S. Korea|Korea Republic|🇰🇷|KOR|Hanguk|Daehan Minguk|Daehanminguk|SK|Korea (South),South Korea,South Korea,cntry of person's birthcity,person-birthcity-cntry
91455,Anna May Wong,Los Angeles,United States of America,The city where Anna May Wong was born is,"Los Angeles|Los Angeles, California|Pink City|The town of Our Lady the Queen of the Angels of the Little Portion|La La Land|Tinsel Town|City of Angels|City of Los Angeles|LA, California|L.A.|LA|Double Dubuque|Los Ángeles|Los Angeles, CA",Los Angeles,Los Angeles,Los Angeles is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91462,Francesco Guardi,Venice,Italy,The city where Francesco Guardi was born is,"Venice|Serenissima|Venezia|Venexia|Venetia|Venice, Italy",Venice.,Venice,Venice is in the country of,Italy|Italia|Italian Republic|IT|🇮🇹|ITA|Republic of Italy|Repubblica Italiana,Italy,Italy,cntry of person's birthcity,person-birthcity-cntry
91465,Ernests Gulbis,Riga,Latvia,The city where Ernests Gulbis was born is,Riga|Rīga|Ryga|Rige|Riia|Rija|Rīgõ,"Riga, Latvia.",Riga,Riga is in the country of,Latvia|lv|🇱🇻|LVA|Leţmо̄ Vabāmо̄|Leţmо̄|Republic of Latvia|Latvian Republic|Latvija|LAT|Latveja|Latvijas Republika|Latvejas Republika,Latvia,Latvia,cntry of person's birthcity,person-birthcity-cntry
91481,Tori Spelling,Los Angeles,United States of America,The city where Tori Spelling was born is,"Los Angeles|Los Angeles, California|Pink City|The town of Our Lady the Queen of the Angels of the Little Portion|La La Land|Tinsel Town|City of Angels|City of Los Angeles|LA, California|L.A.|LA|Double Dubuque|Los Ángeles|Los Angeles, CA",Los Angeles,Los Angeles,Los Angeles is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91485,Solange Knowles,Houston,United States of America,The city where Solange Knowles was born is,"Houston|Houston, Texas|Space City|H-Town|City of Houston|USHOU|Houston, TX|Houston TX",Houston.,Houston,Houston is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91505,László Cseh,Budapest,Hungary,The city where László Cseh was born is,"Budapest|Buda Pest|Buda-Pest|Budapešť|Budapesta|Budapeszt|Buda|Ofen|Budín|Budim|Budon|Pest|Pešť|Pešta|Alt-Ofen|Budapest, Hungary|Buda-Pesth",Budapest,Budapest,Budapest is in the country of,Hungary|hu|🇭🇺|HUN,Hungary,Hungary,cntry of person's birthcity,person-birthcity-cntry
91510,Janhvi Kapoor,Mumbai,India,The city where Janhvi Kapoor was born is,Mumbai|Bombay,Mumbai.,Mumbai,Mumbai is in the country of,India|Republic of India|Bharat|Bharatvarsh|Hindustan|IN|IND|🇮🇳|Bharata|Hindoostan|Indostan|Bharat Ganarajya,India,India,cntry of person's birthcity,person-birthcity-cntry
91511,Steffen Iversen,Oslo,Norway,The city where Steffen Iversen was born is,"Oslo|Christiania|Kristiania|NOOSL|Oslo, Norway",Oslo,Oslo,Oslo is in the country of,Norway|Kingdom of Norway|NO|NOR|🇳🇴,Norway,Norway,cntry of person's birthcity,person-birthcity-cntry
91524,Princess Sara Ali Khan of Bhopal,Mumbai,India,The city where Princess Sara Ali Khan of Bhopal was born is,Mumbai|Bombay,Mumbai.,Mumbai,Mumbai is in the country of,India|Republic of India|Bharat|Bharatvarsh|Hindustan|IN|IND|🇮🇳|Bharata|Hindoostan|Indostan|Bharat Ganarajya,India,India,cntry of person's birthcity,person-birthcity-cntry
91548,Maria de Medeiros,Lisbon,Portugal,The city where Maria de Medeiros was born is,Lisbon|Lisboa,Lisbon,Lisbon,Lisbon is in the country of,Portugal|Portuguese Republic|PT|🇵🇹|PRT|POR,Portugal,Portugal,cntry of person's birthcity,person-birthcity-cntry
91556,Luke Hemsworth,Melbourne,Australia,The city where Luke Hemsworth was born is,"Melbourne|Melbourne, Victoria|Melbourne, Australia|Greater Melbourne|Melbourne, AUS|Naarm|Melbourne, Victoria, Australia|Melbourne, VIC|Melbourne, VIC, Australia|Narrm",Melbourne,Melbourne,Melbourne is in the country of,Australia|Commonwealth of Australia|AU|AUS|🇦🇺|Straya|Aussieland|Oz|Stralia|New Holland|New Hollandia|Nova Hollandia|Down Under,Australia,Australia,cntry of person's birthcity,person-birthcity-cntry
91569,Rob Kardashian,Los Angeles,United States of America,The city where Rob Kardashian was born is,"Los Angeles|Los Angeles, California|Pink City|The town of Our Lady the Queen of the Angels of the Little Portion|La La Land|Tinsel Town|City of Angels|City of Los Angeles|LA, California|L.A.|LA|Double Dubuque|Los Ángeles|Los Angeles, CA",Los Angeles,Los Angeles,Los Angeles is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91577,Al-Saadi Gaddafi,Tripoli,Libya,The city where Al-Saadi Gaddafi was born is,Tripoli|Tarabulus,Tripoli.,Tripoli,Tripoli is in the country of,Libya|State of Libya|ly|🇱🇾|LBA,Libya,Libya,cntry of person's birthcity,person-birthcity-cntry
91592,Ronnie Whelan,Dublin,Republic of Ireland,The city where Ronnie Whelan was born is,"Dublin|Dublin city|City of Dublin|Baile Átha Cliath|Dublin, Ireland",Dublin,Dublin,Dublin is in the country of,"Republic of Ireland|Éire|IE|IRL|Hibernia|Ireland, Republic of|🇮🇪|Eire|Southern Ireland|Ireland (state)|Ireland",Ireland,Ireland,cntry of person's birthcity,person-birthcity-cntry
91628,Matti Järvinen,Tampere,Finland,The city where Matti Järvinen was born is,Tampere|Tammerfors,Tampere,Tampere,Tampere is in the country of,Finland|Republic of Finland|Finnia|Land of Thousand Lakes|fi|Suomi|Suomen tasavalta|Republiken Finland|🇫🇮|FIN,Finland,Finland,cntry of person's birthcity,person-birthcity-cntry
91629,Daniel Maldini,Milan,Italy,The city where Daniel Maldini was born is,"Milan|Milano|Milano, Italy|Milan, Italy|Mailand",Milan.,Milan,Milan is in the country of,Italy|Italia|Italian Republic|IT|🇮🇹|ITA|Republic of Italy|Repubblica Italiana,Italy,Italy,cntry of person's birthcity,person-birthcity-cntry
91636,Lisa Dahlkvist,Stockholm,Sweden,The city where Lisa Dahlkvist was born is,Stockholm|Sthlm,"Stockholm, Sweden",Stockholm,Stockholm is in the country of,Sweden|Kingdom of Sweden|🇸🇪|SE|SWE|Sverige|Konungariket Sverige,Sweden,Sweden,cntry of person's birthcity,person-birthcity-cntry
91639,Albert Guðmundsson,Reykjavík,Iceland,The city where Albert Guðmundsson was born is,Reykjavík|Reykjavik|Reykjavíkurborg|Reykjavikurborg,Reykjavik,Reykjavík,Reykjavík is in the country of,Iceland|Republic of Iceland|is|Island|🇮🇸|ISL|Ysland,Iceland,Iceland,cntry of person's birthcity,person-birthcity-cntry
91641,Birabongse Bhanudej,Bangkok,Thailand,The city where Birabongse Bhanudej was born is,"Bangkok|Bangkok, Thailand|Krung Thep|Krung Thep Maha Nakhon|Sia-Yut'hia|Krungthepmahanakhon Amonrattanakosin Mahintharayutthaya Mahadilokphop Noppharatratchathaniburirom Udomratchaniwetmahasathan Amonphimanawatansathit Sakkathattiyawitsanukamprasit",Bangkok,Bangkok,Bangkok is in the country of,Thailand|Kingdom of Thailand|th|Siam|🇹🇭|Land of Smiles|THA,Thailand,Thailand,cntry of person's birthcity,person-birthcity-cntry
91653,Roland Sallai,Budapest,Hungary,The city where Roland Sallai was born is,"Budapest|Buda Pest|Buda-Pest|Budapešť|Budapesta|Budapeszt|Buda|Ofen|Budín|Budim|Budon|Pest|Pešť|Pešta|Alt-Ofen|Budapest, Hungary|Buda-Pesth",Budapest,Budapest,Budapest is in the country of,Hungary|hu|🇭🇺|HUN,Hungary,Hungary,cntry of person's birthcity,person-birthcity-cntry
91663,Amir Reza Abedzadeh,Tehran,Iran,The city where Amir Reza Abedzadeh was born is,Tehran|Teheran|Ṭihrán,Tehran,Tehran,Tehran is in the country of,Iran|Islamic Republic of Iran|Persia|ir|Islamic Rep. Iran|🇮🇷|irn,Iran.,Iran,cntry of person's birthcity,person-birthcity-cntry
91666,Zurab Khizanishvili,Tbilisi,Georgia,The city where Zurab Khizanishvili was born is,Tbilisi|Tiflis|Tpilisi|Tbilissi|Tpilissi,Tbilisi.,Tbilisi,Tbilisi is in the country of,Georgia|Republic of Georgia|GE|🇬🇪|GEO|Georgia (country)|Sakartvelo,Georgia,Georgia,cntry of person's birthcity,person-birthcity-cntry
91671,Tracee Ellis Ross,Los Angeles,United States of America,The city where Tracee Ellis Ross was born is,"Los Angeles|Los Angeles, California|Pink City|The town of Our Lady the Queen of the Angels of the Little Portion|La La Land|Tinsel Town|City of Angels|City of Los Angeles|LA, California|L.A.|LA|Double Dubuque|Los Ángeles|Los Angeles, CA",Los Angeles,Los Angeles,Los Angeles is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91682,Bruno Rezende,Rio de Janeiro,Brazil,The city where Bruno Rezende was born is,Rio de Janeiro|Rio|Rio de Janeiro city|Río de Janeiro City|City of Río de Janeiro,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro is in the country of,Brazil|Federative Republic of Brazil|BR|BRA|🇧🇷|Brasil,Brazil,Brazil,cntry of person's birthcity,person-birthcity-cntry
91683,Attila Szalai,Budapest,Hungary,The city where Attila Szalai was born is,"Budapest|Buda Pest|Buda-Pest|Budapešť|Budapesta|Budapeszt|Buda|Ofen|Budín|Budim|Budon|Pest|Pešť|Pešta|Alt-Ofen|Budapest, Hungary|Buda-Pesth",Budapest,Budapest,Budapest is in the country of,Hungary|hu|🇭🇺|HUN,Hungary,Hungary,cntry of person's birthcity,person-birthcity-cntry
91697,Ken Tokura,Tokyo,Japan,The city where Ken Tokura was born is,Tokyo|City of Tokyo,Tokyo,Tokyo,Tokyo is in the country of,Japan|State of Japan|Land of the Rising Sun|Nihon|Nippon|JP|Nippon-koku|Nihon-koku|JPN|JAP|JA|🇯🇵|Iapan|Iapon|Land of Rising Sun,Japan,Japan,cntry of person's birthcity,person-birthcity-cntry
91704,Martins Dukurs,Riga,Latvia,The city where Martins Dukurs was born is,Riga|Rīga|Ryga|Rige|Riia|Rija|Rīgõ,"Riga, Latvia",Riga,Riga is in the country of,Latvia|lv|🇱🇻|LVA|Leţmо̄ Vabāmо̄|Leţmо̄|Republic of Latvia|Latvian Republic|Latvija|LAT|Latveja|Latvijas Republika|Latvejas Republika,Latvia,Latvia,cntry of person's birthcity,person-birthcity-cntry
91742,František Veselý,Prague,Czech Republic,The city where František Veselý was born is,Prague|Praha|Hlavní město Praha|City of Prague,Praha,Praha,Prague is in the country of,Czech Republic|CZR|Česko|Česká republika|ČR|CZE|CZ|Czechia,Czech Republic,Czech Republic,cntry of person's birthcity,person-birthcity-cntry
91747,Kelly Sildaru,Tallinn,Estonia,The city where Kelly Sildaru was born is,"Tallinn|Reval|Revel|Rewel|Kolywan|Lyndanisse|Lindanäs|Reuel|Tallinn, Estonia","Tallinn, Estonia",Tallinn,Tallinn is in the country of,Estonia|Republic of Estonia|Estland|Eesti|ee|EST|🇪🇪|Eesti Vabariik,Estonia,Estonia,cntry of person's birthcity,person-birthcity-cntry
91758,Tibor Benedek,Budapest,Hungary,The city where Tibor Benedek was born is,"Budapest|Buda Pest|Buda-Pest|Budapešť|Budapesta|Budapeszt|Buda|Ofen|Budín|Budim|Budon|Pest|Pešť|Pešta|Alt-Ofen|Budapest, Hungary|Buda-Pesth",Budapest,Budapest,Budapest is in the country of,Hungary|hu|🇭🇺|HUN,Hungary,Hungary,cntry of person's birthcity,person-birthcity-cntry
91771,Katja Nyberg,Stockholm,Sweden,The city where Katja Nyberg was born is,Stockholm|Sthlm,Stockholm,Stockholm,Stockholm is in the country of,Sweden|Kingdom of Sweden|🇸🇪|SE|SWE|Sverige|Konungariket Sverige,Sweden,Sweden,cntry of person's birthcity,person-birthcity-cntry
91792,Taylor Phinney,Boulder,United States of America,The city where Taylor Phinney was born is,"Boulder|Boulder, Colorado|Boulder, CO","Boulder, Colorado.",Boulder,Boulder is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91805,Petr Kouba,Prague,Czech Republic,The city where Petr Kouba was born is,Prague|Praha|Hlavní město Praha|City of Prague,Praha,Praha,Prague is in the country of,Czech Republic|CZR|Česko|Česká republika|ČR|CZE|CZ|Czechia,Czech Republic,Czech Republic,cntry of person's birthcity,person-birthcity-cntry
91831,Tamir Cohen,Tel Aviv,Israel,The city where Tamir Cohen was born is,"Tel Aviv|Tel Aviv-Yafo|Tel-Aviv|Tel Aviv City|Tel Aviv-Jaffa|Tel-Aviv Jaffa|Tel Aviv Jaffa|Tel Aviv-Jafo|Tel Aviv, Israel|TLV",Tel Aviv.,Tel Aviv,Tel Aviv is in the country of,Israel|State of Israel|il|🇮🇱|the Jewish state|ISR,Israel,Israel,cntry of person's birthcity,person-birthcity-cntry
91842,Guy Thys,Antwerp,Belgium,The city where Guy Thys was born is,Antwerp|City of Antwerp|Anvers|Antwerpen,Antwerp.,Antwerp,Antwerp is in the country of,Belgium|Kingdom of Belgium|BEL|be|🇧🇪|Koninkrijk België|Royaume de Belgique|Königreich Belgien|Belgien,Belgium,Belgium,cntry of person's birthcity,person-birthcity-cntry
91843,Jabari Parker,Chicago,United States of America,The city where Jabari Parker was born is,"Chicago|Chicago, Illinois|The Windy City|City by the Lake|The Queen of the West|Chi-Town|Chitown|The Second City|City of Chicago|City of Broad Shoulders|Chi-Raq|Chicago, IL",Chicago,Chicago,Chicago is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91846,Andrea Temesvári,Budapest,Hungary,The city where Andrea Temesvári was born is,"Budapest|Buda Pest|Buda-Pest|Budapešť|Budapesta|Budapeszt|Buda|Ofen|Budín|Budim|Budon|Pest|Pešť|Pešta|Alt-Ofen|Budapest, Hungary|Buda-Pesth",Budapest,Budapest,Budapest is in the country of,Hungary|hu|🇭🇺|HUN,Hungary,Hungary,cntry of person's birthcity,person-birthcity-cntry
